index,day_deliver_coupon_num,coupon_discount,day_order_num,day_average_order_fee,step,date
0,0,0.6,0,0,0,2021/3/19
0,2,0.65,1,32.9187724,1,2021/3/20
0,0,0.6,0,0,2,2021/3/21
0,2,0.65,2,29.99600682,3,2021/3/22
0,0,0.6,0,0,4,2021/3/23
0,0,0.6,0,0,5,2021/3/24
0,0,0.6,0,0,6,2021/3/25
0,0,0.6,0,0,7,2021/3/26
0,2,0.65,1,33.41524395,8,2021/3/27
0,0,0.6,0,0,9,2021/3/28
0,0,0.6,0,0,10,2021/3/29
0,2,0.65,1,33.59494171,11,2021/3/30
0,0,0.6,0,0,12,2021/3/31
0,0,0.6,0,0,13,2021/4/1
0,0,0.6,0,0,14,2021/4/2
0,0,0.6,0,0,15,2021/4/3
0,2,0.7,1,32.63089333,16,2021/4/4
0,0,0.95,0,0,17,2021/4/5
0,0,0.95,0,0,18,2021/4/6
0,2,0.95,0,0,19,2021/4/7
0,0,0.95,0,0,20,2021/4/8
0,2,0.6,2,31.29862115,21,2021/4/9
0,0,0.95,0,0,22,2021/4/10
0,2,0.6,2,32.40982086,23,2021/4/11
0,0,0.95,0,0,24,2021/4/12
0,0,0.95,0,0,25,2021/4/13
0,0,0.95,0,0,26,2021/4/14
0,0,0.95,0,0,27,2021/4/15
0,0,0.95,0,0,28,2021/4/16
0,0,0.95,0,0,29,2021/4/17
0,0,0.95,0,0,30,2021/4/18
0,0,0.95,0,0,31,2021/4/19
0,2,0.7,1,33.67958294,32,2021/4/20
0,2,0.65,2,27.10418701,33,2021/4/21
0,0,0.95,0,0,34,2021/4/22
0,0,0.95,0,0,35,2021/4/23
0,0,0.95,0,0,36,2021/4/24
0,0,0.95,0,0,37,2021/4/25
0,2,0.6,1,30.23286004,38,2021/4/26
0,0,0.95,0,0,39,2021/4/27
0,0,0.95,0,0,40,2021/4/28
0,0,0.95,0,0,41,2021/4/29
0,0,0.95,0,0,42,2021/4/30
0,0,0.95,0,0,43,2021/5/1
0,2,0.6,2,34.43816215,44,2021/5/2
0,0,0.95,0,0,45,2021/5/3
0,0,0.95,0,0,46,2021/5/4
0,0,0.95,0,0,47,2021/5/5
0,0,0.95,0,0,48,2021/5/6
0,0,0.95,0,0,49,2021/5/7
0,0,0.95,0,0,50,2021/5/8
0,0,0.95,0,0,51,2021/5/9
0,0,0.95,0,0,52,2021/5/10
0,2,0.6,1,35.40242235,53,2021/5/11
0,0,0.95,0,0,54,2021/5/12
0,2,0.6,2,26.96582377,55,2021/5/13
